Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"R Tiedemann, D Romero-Mujalli…","Individual-based modeling of eco-evolutionary dynamics: state of the art and future directions.",2019,"Regional …","search.ebscohost.com","http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=14363798&AN=134222650&h=k2lfW91nAGpUoD6qyyQFg9GGULW9KzhbJqWSD%2F8PepiffdRKAplMXJ8aI1p55hFqVxAy4xpX2lKHkz%2F4kK8HLQ%3D%3D&crl=c","",155,"2022-05-30 20:18:07","","","","",,,,,0,0.00,0,3,3,"… experienced, such as climate change, changes in resource … by dispersal (potentially causing range shift of the population)… , whether it could potentially affect range shift, or whether it was …","","https://scholar.google.com/scholar?q=related:FedJCLoxDi8J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
2,"MJ Wingfield, B Hurley, B Wingfield…","Tree health in South Africa: Retrospect and prospect",2020,"South African Journal of …","scielo.org.za","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532020000700014","https://scholar.google.com/scholar?cites=11833379778921262645&as_sdt=2005&sciodt=0,5&hl=en",156,"2022-05-30 20:18:07","HTML","","","",,,,,2,1.00,1,4,2,"… Numerous native pests and pathogens, especially insects, have … had undergone a host range shift to infect introduced Eucalyptus … species, and increasingly hybrids, has allowed forestry …","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532020000700014","https://scholar.google.com/scholar?q=related:NW7khjacOKQJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
2,"W Jones","Avian Malaria and Interspecific Interactions in Ficedula Flycatchers",2019,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1295138","https://scholar.google.com/scholar?cites=3374077071050006254&as_sdt=2005&sciodt=0,5&hl=en",157,"2022-05-30 20:18:07","","","","",,,,,2,0.67,2,1,3,"… their hosts into producing insect-vector attracting compounds … hybridisation risk, yet how broad this ability is should be a priority for researchers interested in the impact of climate change …","https://www.diva-portal.org/smash/get/diva2:1295138/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:7t65MDgh0y4J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
63,"K Berthon, M Esperon-Rodriguez, LJ Beaumont…","Assessment and prioritisation of plant species at risk from myrtle rust (Austropuccinia psidii) under current and future climates in Australia",2018,"Biological …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0006320717309035","https://scholar.google.com/scholar?cites=3099680391159417476&as_sdt=2005&sciodt=0,5&hl=en",158,"2022-05-30 20:18:07","","","","",,,,,63,15.75,16,4,4,"… Subspecies and hybrids were … range shift for these hosts is likely to be negligible within the time span of our future projections (30 years), considering lags in response to climate change …","","https://scholar.google.com/scholar?q=related:hApNmORGBCsJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"Q Canelles Trabal","Incorporating insect pest outbreaks to landscape modelling: the case of Cydalima perspectalis invasion in Europe",2021,"","ddd.uab.cat","https://ddd.uab.cat/record/257670","",159,"2022-05-30 20:18:07","","","","",,,,,0,0.00,0,1,1,"… , their direct ecological consequences are related to genetic hybridization with native … Like many of the disturbances we have discussed, climate change influences insect pests both …","https://ddd.uab.cat/pub/tesis/2021/hdl_10803_673842/qct1de1.pdf",""
1,"T Kankaanpää","Parasitoid communities in a changing Arctic climate: from species traits to ecosystem functioning",2020,"","helda.helsinki.fi","https://helda.helsinki.fi/handle/10138/314152","https://scholar.google.com/scholar?cites=3049287288122980858&as_sdt=2005&sciodt=0,5&hl=en",160,"2022-05-30 20:18:07","","","","",,,,,1,0.50,1,1,2,"… the total food web, the insect parasitoids, insect herbivores and a … be expected if realized climate change really has influenced the … These species hybridize readily where they meet, for …","https://helda.helsinki.fi/bitstream/handle/10138/314152/Parasito.pdf?sequence=1","https://scholar.google.com/scholar?q=related:-jmv-qE-USoJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
97,"F Médail","The specific vulnerability of plant biodiversity and vegetation on Mediterranean islands in the face of global change",2017,"Regional Environmental Change","Springer","https://link.springer.com/article/10.1007/s10113-017-1123-7","https://scholar.google.com/scholar?cites=8062353064648974825&as_sdt=2005&sciodt=0,5&hl=en",161,"2022-05-30 20:18:07","","10.1007/s10113-017-1123-7","","",,,,,97,19.40,97,1,5,"… range shift of plant communities in response to global warming. As suggested for Mediterranean mammals, the effects of climate change … able to cope with climate change is still largely …","https://hal.archives-ouvertes.fr/hal-01681626/document","https://scholar.google.com/scholar?q=related:6SEvaGU7428J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"R Cristofari","Structure and dynamics of the penguin synnomes: understanding seabird life history and response to climate change through population genomics",2016,"","tel.archives-ouvertes.fr","https://tel.archives-ouvertes.fr/tel-01423915/","",162,"2022-05-30 20:18:07","","","","",,,,,0,0.00,0,1,6,"The Southern Ocean plays a central role in the regulation of the Earth’s climate and ecosystems, and accounts for more than 20% of the world’s marine productivity. The complexity of its …","https://tel.archives-ouvertes.fr/tel-01423915/file/CRISTOFARI_Robin_2016_ED414.pdf","https://scholar.google.com/scholar?q=related:5BMGPI40WSkJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
5,"LD Parker, MTR Hawkins…","Little genetic structure in a Bornean endemic small mammal across a steep ecological gradient",2020,"Molecular …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.15626","https://scholar.google.com/scholar?cites=16431270345916388178&as_sdt=2005&sciodt=0,5&hl=en",163,"2022-05-30 20:18:07","","10.1111/mec.15626","","",,,,,5,2.50,2,3,2,"… which to track potential future effects of climate change on mountain treeshrews in KNP, an … We used in-solution DNA hybridization to enrich genomic DNA for UCEs following Hawkins …","http://www.consevol.org/pdf/Parker_2020_MolEcol.pdf","https://scholar.google.com/scholar?q=related:UpPBsFKZB-QJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
191,"JP Sexton, J Montiel, JE Shay…","Evolution of ecological niche breadth",2017,"Annual Review of …","annualreviews.org","https://www.annualreviews.org/doi/abs/10.1146/annurev-ecolsys-110316-023003","https://scholar.google.com/scholar?cites=14663514239964833048&as_sdt=2005&sciodt=0,5&hl=en",164,"2022-05-30 20:18:07","","10.1146/annurev-ecolsys-110316-023003","","",,,,,191,38.20,48,4,5,"… to shift ranges or adapt in response to climate change. The study of niche breadth has … , structural changes (inversions), and hybridization/introgression. Investigations of the genomes of …","https://www.annualreviews.org/doi/full/10.1146/annurev-ecolsys-110316-023003","https://scholar.google.com/scholar?q=related:GGX8t4JEf8sJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
15,"MA Zemanova","Poor implementation of non-invasive sampling in wildlife genetics studies",2019,"Rethinking Ecology","rethinkingecology.pensoft.net","https://rethinkingecology.pensoft.net/article/32751/download/pdf/","https://scholar.google.com/scholar?cites=2204868755171875083&as_sdt=2005&sciodt=0,5&hl=en",165,"2022-05-30 20:18:07","PDF","","","",,,,,15,5.00,15,1,3,"… from habitat loss, overexploitation, global climate change, and invasive species, which escalate the … Exceptions were genome-wide association studies, studies on hybridization and …","https://rethinkingecology.pensoft.net/article/32751/download/pdf/","https://scholar.google.com/scholar?q=related:C5lgcHNEmR4J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"Y Ding","A critical evaluation of the species extinction by human influence: Species extinction by human influence",2022,"ScienceOpen Preprints","scienceopen.com","https://www.scienceopen.com/document_file/34890e55-8b54-403d-b31c-ef74b40b46a4/ScienceOpenPreprint/20220108-The%20species%20extinction.pdf","",166,"2022-05-30 20:18:07","PDF","","","",,,,,0,0.00,0,1,1,"… Schematic illustration showing a geographic range shift associated with … enemies will lead to the increase 91 of pests). As a result, the … Briefly, climate change 93 might lead to significant …","https://www.scienceopen.com/document_file/34890e55-8b54-403d-b31c-ef74b40b46a4/ScienceOpenPreprint/20220108-The%20species%20extinction.pdf",""
268,"LB Firth, AM Knights, D Bridger, A Evans…","Ocean sprawl: challenges and opportunities for biodiversity management in a changing world",2016,"","pearl.plymouth.ac.uk","https://pearl.plymouth.ac.uk/bitstream/handle/10026.1/8025/K27072_C004(Enabled).pdf?sequence=1","https://scholar.google.com/scholar?cites=2750437825814334384&as_sdt=2005&sciodt=0,5&hl=en",167,"2022-05-30 20:18:07","PDF","","","",,,,,268,44.67,54,5,6,"… a focus on recent rapid climate change and its interaction with … We consider how efforts to combat climate change, such as … the increase and spread of pest and harmful species. Jellyfish …","https://pearl.plymouth.ac.uk/bitstream/handle/10026.1/8025/K27072_C004(Enabled).pdf?sequence=1","https://scholar.google.com/scholar?q=related:sAt2UKGEKyYJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
7,"LB Buckley, JG Kingsolver","Evolution of Thermal Sensitivity in Changing and Variable Climates",2021,"Annual Review of Ecology …","annualreviews.org","https://www.annualreviews.org/doi/abs/10.1146/annurev-ecolsys-011521-102856","https://scholar.google.com/scholar?cites=3510671900198039092&as_sdt=2005&sciodt=0,5&hl=en",168,"2022-05-30 20:18:07","","10.1146/annurev-ecolsys-011521-102856","","",,,,,7,7.00,4,2,1,"… to climate change also warrants careful attention: The larger magnitude of thermal variation in temperate areas may lead to similar climate change … taxonomic groups (insects, lizards, …","https://www.annualreviews.org/doi/full/10.1146/annurev-ecolsys-011521-102856","https://scholar.google.com/scholar?q=related:NO4_Ln5puDAJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
101,"HA Narouei-Khandan, SE Halbert, SP Worner…","Global climate suitability of citrus huanglongbing and its vector, the Asian citrus psyllid, using two correlative species distribution modeling approaches, with emphasis …",2016,"European Journal of …","Springer","https://link.springer.com/article/10.1007/s10658-015-0804-7","https://scholar.google.com/scholar?cites=1475476788990405731&as_sdt=2005&sciodt=0,5&hl=en",169,"2022-05-30 20:18:07","","10.1007/s10658-015-0804-7","","",,,,,101,16.83,25,4,6,"… Although insect transmission is one of the major factors in disease spread, the risk of HLB … a species that experiences a range shift in response to climate change (Vaclavik and …","https://www.researchgate.net/profile/Hossein-Narouei-Khandan/publication/272179304_Projecting_the_potential_climate_suitability_of_HLB_using_a_presence-only_model_MaxEnt/links/56b115fa08ae56d7b069e295/Projecting-the-potential-climate-suitability-of-HLB-using-a-presence-only-model-MaxEnt.pdf","https://scholar.google.com/scholar?q=related:Y2wbelLyeRQJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"S Yalcin","Biodiversity responses to global changes",2018,"","research.library.mun.ca","https://research.library.mun.ca/13503/","",170,"2022-05-30 20:18:07","","","","",,,,,0,0.00,0,1,4,"… I found that land-cover and climate change were top … studies on species’ range shift is correlative species distribution … periods in an atlas map for 91 insect species in Europe. However, …","https://research.library.mun.ca/13503/1/Yalcin_Semra_Doctoral.pdf","https://scholar.google.com/scholar?q=related:BIr5uVYdyXgJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
3,"K Pradheep, M Singh, SM Sultan, K Singh…","Diversity in wild relatives of wheat: An expedition collection from cold-arid Indian Himalayas",2019,"Genetic Resources and …","Springer","https://link.springer.com/article/10.1007/s10722-018-0706-6","https://scholar.google.com/scholar?cites=12896587223510305785&as_sdt=2005&sciodt=0,5&hl=en",171,"2022-05-30 20:18:07","","10.1007/s10722-018-0706-6","","",,,,,3,1.00,1,5,3,"… This altitudinal range shift acts as a standing example of the impact of climate change on a fragile ecosystem. Also, such specific habitat niche towards cold-arid conditions highlights the …","","https://scholar.google.com/scholar?q=related:-UssMMDh-bIJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"KA Hopperstad","The Yellow Fever Mosquito (Aedes aegypti) in Florida: Landscape Ecology and Population Genetics",2018,"","search.proquest.com","https://search.proquest.com/openview/b12754bff2c3d4861a3220740f1a7dd5/1?pq-origsite=gscholar&cbl=18750&diss=y","",172,"2022-05-30 20:18:07","","","","",,,,,0,0.00,0,1,4,"… fever mosquito, Aedes aegypti, in the United States has diminished since the introduction of the Asian tiger mosquito, … aegypti local range shift but could not attribute this to concomitant …","https://repository.lib.ncsu.edu/bitstream/handle/1840.20/35516/etd.pdf?sequence=1","https://scholar.google.com/scholar?q=related:CEJ2nsdJxcIJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"SJ Harrison","Genetic Analysis of the Southern Yellow Bat (Dasypterus ega)",2018,"","asu-ir.tdl.org","https://asu-ir.tdl.org/handle/2346.1/30860","",173,"2022-05-30 20:18:07","","","","",,,,,0,0.00,0,1,4,"… climate change on a global scale. These edge populations are necessary for range shift and … pygmaeus) pipistrelle bats from central Europe suggests interspecific hybridization. Can. J. …","https://asu-ir.tdl.org/asu-ir/bitstream/handle/2346.1/30860/HARRISON-HONORSTHESIS-2018.pdf?sequence=1","https://scholar.google.com/scholar?q=related:4k7mKqIqEZkJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
28,"X Mi, G Feng, Y Hu, J Zhang, L Chen…","The global significance of biodiversity science in China: an overview",2021,"National science …","academic.oup.com","https://academic.oup.com/nsr/article-abstract/8/7/nwab032/6147049","https://scholar.google.com/scholar?cites=15323417626998389877&as_sdt=2005&sciodt=0,5&hl=en",174,"2022-05-30 20:18:07","","","","",,,,,28,28.00,5,6,1,"… of greenhouse gas emissions and climate change, to crop … , 20 new insect genera and 400 new insect species [22]. … -mediated isolation and diploid hybridization on the Qinghai-Tibetan …","https://academic.oup.com/nsr/article/8/7/nwab032/6147049","https://scholar.google.com/scholar?q=related:dbwyEiW3p9QJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
1,"JR Cooley, DC Marshall, C Simon","Documenting Single-Generation Range Shifts of Periodical Cicada Brood VI (Hemiptera: Cicadidae: Magicicada spp.)",2021,"Annals of the Entomological …","academic.oup.com","https://academic.oup.com/aesa/article-abstract/114/4/477/6224430","https://scholar.google.com/scholar?cites=13023446763337671936&as_sdt=2005&sciodt=0,5&hl=en",175,"2022-05-30 20:18:07","","","","",,,,,1,1.00,0,3,1,"… Species range shifts are an active area of research, fueled by the urgency of understanding how species might respond to projected climate change (Menendez 2007). Quantifying …","https://scholar.archive.org/work/24a2ws4qbvfvvlcrtprqioyamm/access/wayback/https://watermark.silverchair.com/saab007.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAArUwggKxBgkqhkiG9w0BBwagggKiMIICngIBADCCApcGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM65cx3EUZc2yEYZ-_AgEQgIICaPmwTzegVamAwovjm77_DOCGCcq7gifIyupqB8TrUXrwLjqwJAR58pWuIkDiKVBJWsa1cB1QDXZ4Xa4fg5Cj8dGYRbqzgdkY2nh6P91n-UdFKymQtnAJvoZFDC2Fc4eO-rxZPrvQPqRg6IOM-K_-ywdZrLrPskj5NMHQE-vkni_Lbio1P-01Q_x-g3wLmHLtqBinWcSr47Q8B0iHR7jpDMt1BDhUdusCLu_KznjEDtMG1UuAmDMJP9SHM3BlA4Nf4KmECk7V2-8cQNT-cTlw4Mu1BP0lZr7eVYwCG5YCBsBtwVeqLMpQzzJqRy12BkNhhFY7AwBoBSMBfDqz8qtarROJBIDSh3ytlcGZNL3eCdNAGuaFRoAgE6wR1W3lgS7zYKxLLF1y3Og4cOKOOqlNkvB9_i7Jfn4rrtRTvUjTlWdB6A8XKpMRO2PlyWP7AFHTOi2FttP-Z0xxeuEDkt63W9BjbT-9h8xJ7B1S4v64t0rgL8dPctRA7wvjnImdweYtN6AhkqhjQkVIMA2dcTLZXFu-96cOOOTxOlCkHoL21lZv_O1ADVH2ei5hBwpigeBLflLrfKwEIxw055SJ9PZ7Rc4PkQwzpxNdX7o2RueBmsW_pA0jgOalRpVZ4vuiESbH6Znjrfwg5fFGE4raewTt_qJvWol57G2wCqkbBB5chzoUUtEgOK1ipQhlxAFmawencgDSfFzCHByNlsFTWkfFj5yMIxysi1NOaN7gERqWt0KesJBrU7YNxjsBNfBQiZwCA-ufV24750s-MARcLJn3o5eXZofqxcEET-rGX66PGy8cHffeamDh1ys","https://scholar.google.com/scholar?q=related:AOXzf9STvLQJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
26,"MP MacPherson, AE Jahn, MT Murphy…","Follow the rain? Environmental drivers of Tyrannus migration across the New World",2018,"The Auk …","academic.oup.com","https://academic.oup.com/auk/article-abstract/135/4/881/5148957","https://scholar.google.com/scholar?cites=13386340657768446338&as_sdt=2005&sciodt=0,5&hl=en",176,"2022-05-30 20:18:07","","10.1642/AUK-17-209.1","","",,,,,26,6.50,7,4,4,"… underscored by the finding that precipitation was such an important predictor of the nonbreeding distributions of both types of migrants, as it remains unclear how global climate change …","https://bioone.org/journals/the-auk/volume-135/issue-4/AUK-17-209.1/Follow-the-rain-Environmental-drivers-of-Tyrannus-migration-across-the/10.1642/AUK-17-209.1.pdf","https://scholar.google.com/scholar?q=related:gjmohOfVxbkJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"MW Tingley","Historical Data on Species Occurrence",,"CHANGING CLIMATE","degruyter.com","https://www.degruyter.com/document/doi/10.1525/9780520961807/pdf#page=211","",177,"2022-05-30 20:18:07","","10.1525/9780520961807","","",,,,,0,0.00,0,1,,"… In addition to working toward reducing the rate of climate change… potentially detect strong changes if comparing flying insects. … See Purple sea urchin range shift, See Range shifts on red …","","https://scholar.google.com/scholar?q=related:5Ul4pcBfuVwJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
5,"A Arriaga-Jiménez, B Kohlmann…","Past and future sky-island dynamics of tropical mountains: A model for two Geotrupes (Coleoptera: Geotrupidae) species in Oaxaca, Mexico",2020,"The …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0959683620932977","https://scholar.google.com/scholar?cites=14127522276347391345&as_sdt=2005&sciodt=0,5&hl=en",178,"2022-05-30 20:18:07","","10.1177/0959683620932977","","",,,,,5,2.50,2,3,2,"… -elevation glacial refugia, having a low climate-change velocity, showing persistence in situ … with a subsequent range coalescence and hybridization during one of the earlier glacial …","","https://scholar.google.com/scholar?q=related:ca0a1qgKD8QJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
12,"I Moura, I Maquia, AA Rija, N Ribeiro…","Biodiversity studies in key species from the African mopane and miombo woodlands",2017,"Genetic …","books.google.com","https://books.google.com/books?hl=en&lr=&id=j_iODwAAQBAJ&oi=fnd&pg=PA91&dq=insect+hybridization+%22climate+change%22+%22range+shift%22&ots=9NvOZo98dX&sig=x4IJ-AvnXHilT9M3fdTe9ESogRs","https://scholar.google.com/scholar?cites=14747119165355354028&as_sdt=2005&sciodt=0,5&hl=en",179,"2022-05-30 20:18:07","","","","",,,,,12,2.40,2,5,5,"… genus, since some species hybridize freely with others, making … very durable and resistant to insect damage. It is traditionally … angolensis under two different climate change scenarios …","https://www.intechopen.com/books/genetic-diversity/biodiversity-studies-in-key-species-from-the-african-mopane-and-miombo-woodlands","https://scholar.google.com/scholar?q=related:rGdcT79KqMwJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
1,"MK Sobczyk","Phylogenetics of Fragaria, Rubus and Related Taxa",2018,"The Genomes of Rosaceous Berries and Their Wild …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-76020-9_2","https://scholar.google.com/scholar?cites=7185831087735883791&as_sdt=2005&sciodt=0,5&hl=en",180,"2022-05-30 20:18:07","","10.1007/978-3-319-76020-9_2","","",,,,,1,0.25,1,1,4,"… with the climate change during the Last Glacial Maximum have increased the rate of … resistance to pest and disease for cultivated raspberry. Moreover, commercial hybrids have been …","","https://scholar.google.com/scholar?q=related:D8h0WE0zuWMJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"DN Shah","Spatial patterns and determinants of stream insect diversity in the Northern Hemisphere",2018,"","103.69.125.248","http://103.69.125.248:8080/jspui/bitstream/123456789/274/1/DNS_%20PhD%20thesis.pdf","",181,"2022-05-30 20:18:07","PDF","","","",,,,,0,0.00,0,1,4,"… richness of stream insects and explore the potential impacts of climate change on the … northward range shift may also be a relevant response for other North American freshwater insects …","http://103.69.125.248:8080/jspui/bitstream/123456789/274/1/DNS_%20PhD%20thesis.pdf","https://scholar.google.com/scholar?q=related:9E_i6CEaJcAJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
9,"YE Xiao, D Jin, K Jiang, YH Hu, X Tong…","Pollinator limitation causes sexual reproductive failure in ex situ populations of self-compatible Iris ensata",2019,"Plant Ecology & …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/17550874.2019.1569170","https://scholar.google.com/scholar?cites=10680908359350831007&as_sdt=2005&sciodt=0,5&hl=en",182,"2022-05-30 20:18:07","","10.1080/17550874.2019.1569170","","",,,,,9,3.00,2,6,3,"… of projected range shifts caused by climate change. If, for example… nectar could be reached by insects observed to visit the flowers. … the prospective range shift of their pollinators as well. …","https://escholarship.org/content/qt6np8r512/qt6np8r512.pdf","https://scholar.google.com/scholar?q=related:n0ebHZA1OpQJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
5,"M Gómez-Llano, A Narasimhan…","Male-male competition causes parasite-mediated sexual selection for local adaptation",2020,"The American …","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/710039","https://scholar.google.com/scholar?cites=2031659027108109314&as_sdt=2005&sciodt=0,5&hl=en",183,"2022-05-30 20:18:07","","10.1086/710039","","",,,,,5,2.50,2,3,2,"… Population growth is affected by several biotic and abiotic factors; in insects especially … slows geographical range shift and accelerates ecological niche shift under climate change. …","https://www.researchgate.net/profile/Miguel-Gomez-56/publication/341589161_Male-Male_Competition_Causes_Parasite-Mediated_Sexual_Selection_for_Local_Adaptation/links/5fbd2248458515b797692922/Male-Male-Competition-Causes-Parasite-Mediated-Sexual-Selection-for-Local-Adaptation.pdf","https://scholar.google.com/scholar?q=related:Apx-9x7nMRwJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
10,"JC Barnes, JA Delborne","Rethinking restoration targets for American chestnut using species distribution modeling",2019,"Biodiversity and Conservation","Springer","https://link.springer.com/article/10.1007/s10531-019-01814-8","https://scholar.google.com/scholar?cites=5091107567666874025&as_sdt=2005&sciodt=0,5&hl=en",184,"2022-05-30 20:18:07","","10.1007/s10531-019-01814-8","","",,,,,10,3.33,5,2,3,"… Following the guidelines of the International Union for the Conservation of Nature, we use a species distribution model (SDM) to consider the potential impact of climate change on the …","https://par.nsf.gov/servlets/purl/10101020","https://scholar.google.com/scholar?q=related:qUYW5Fs_p0YJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"DA Crook, WH Lowe, FW Allendorf, T Erős, DS Finn…","CrookHumanEffectsEcologicalConnectivityAquaticEcosystems. pdf",2017,"","ir.library.oregonstate.edu","https://ir.library.oregonstate.edu/concern/articles/05741x45q","",185,"2022-05-30 20:18:07","","","","",,,,,0,0.00,0,6,5,"… under the effects of climate change, yet a range shift via … macroinvertebrates are dominated numerically by insects in … threatened with extinction due to competition and hybridisation …","https://ir.library.oregonstate.edu/downloads/2v23w0147",""
9,"JRL Depotter, L Rodriguez-Moreno…","The Emerging British Verticillium longisporum Population Consists of Aggressive Brassica Pathogens",2017,"…","Am Phytopath Society","https://apsjournals.apsnet.org/doi/abs/10.1094/PHYTO-05-17-0184-R","https://scholar.google.com/scholar?cites=16099652987677096381&as_sdt=2005&sciodt=0,5&hl=en",186,"2022-05-30 20:18:07","","10.1094/PHYTO-05-17-0184-R","","",,,,,9,1.80,3,3,5,"… in all three hybridization events and hybridized with D1, D2, … longisporum contributed to the host range shift, such that V. … The separate hybridization events seem to have affected the …","https://apsjournals.apsnet.org/doi/pdfplus/10.1094/PHYTO-05-17-0184-R","https://scholar.google.com/scholar?q=related:vbmMuRd1bd8J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"P Lymberakis, PL Cascio","Marta Biaggini, Miguel Angel Carretero, Claudia Corti",,"www-9.unipv.it","","http://www-9.unipv.it/webshi/images/files/AbstractBook_LacertidsLipari21.pdf","",187,"2022-05-30 20:18:07","PDF","","","",,,,,0,0.00,0,2,,"… are intensively threatened by climate change and land-use … , leading to a complete range shift and secondary contact, … characters decreasing probability of hybridization (reinforcement). …","http://www-9.unipv.it/webshi/images/files/AbstractBook_LacertidsLipari21.pdf","https://scholar.google.com/scholar?q=related:HWuUfM_jmk0J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"S Thakur, VS Negi, R Dhyani, KV Satish, ID Bhatt","Trees, Forests and People",,"researchgate.net","","https://www.researchgate.net/profile/Vikram-Negi/publication/355434460_Vulnerability_assessments_of_mountain_forest_ecosystems_A_global_synthesis/links/6178d4e73c987366c3eea596/Vulnerability-assessments-of-mountain-forest-ecosystems-A-global-synthesis.pdf","",188,"2022-05-30 20:18:07","PDF","","","",,,,,0,0.00,0,5,,"… climate change impacts and suggested management and adaptation plans but was far from a broad reality for the future of the mountain ecosystem under the paradox of climate change…","https://www.researchgate.net/profile/Vikram-Negi/publication/355434460_Vulnerability_assessments_of_mountain_forest_ecosystems_A_global_synthesis/links/6178d4e73c987366c3eea596/Vulnerability-assessments-of-mountain-forest-ecosystems-A-global-synthesis.pdf","https://scholar.google.com/scholar?q=related:-n37_kbXF4sJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
